aggressive_thr,conservative_thr,stake,mode,bets,wins,win_rate,net,roi,final_bank,max_drawdown
0.15,0.3,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.15,0.3,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.3,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.15,0.3,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.3,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.15,0.3,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.35,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.15,0.35,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.35,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.15,0.35,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.35,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.15,0.35,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.4,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.15,0.4,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.4,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.15,0.4,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.4,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.15,0.4,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.45,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.15,0.45,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.45,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.15,0.45,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.45,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.15,0.45,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.5,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.15,0.5,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.5,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.15,0.5,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.15,0.5,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.15,0.5,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.3,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.2,0.3,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.3,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.2,0.3,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.3,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.2,0.3,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.35,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.2,0.35,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.35,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.2,0.35,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.35,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.2,0.35,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.4,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.2,0.4,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.4,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.2,0.4,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.4,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.2,0.4,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.45,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.2,0.45,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.45,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.2,0.45,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.45,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.2,0.45,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.5,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.2,0.5,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.5,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.2,0.5,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.2,0.5,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.2,0.5,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.3,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.25,0.3,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.3,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.25,0.3,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.3,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.25,0.3,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.35,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.25,0.35,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.35,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.25,0.35,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.35,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.25,0.35,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.4,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.25,0.4,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.4,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.25,0.4,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.4,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.25,0.4,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.45,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.25,0.45,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.45,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.25,0.45,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.45,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.25,0.45,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.5,0.01,aggressive,4,4,1.0,38.0,0.038,1038.0,0.0
0.25,0.5,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.5,0.02,aggressive,4,4,1.0,76.0,0.076,1076.0,0.0
0.25,0.5,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.25,0.5,0.05,aggressive,4,4,1.0,190.0,0.19,1190.0,0.0
0.25,0.5,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.3,0.3,0.01,aggressive,0,0,0.0,0.0,0.0,1000.0,0.0
0.3,0.3,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.3,0.3,0.02,aggressive,0,0,0.0,0.0,0.0,1000.0,0.0
0.3,0.3,0.02,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.3,0.3,0.05,aggressive,0,0,0.0,0.0,0.0,1000.0,0.0
0.3,0.3,0.05,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
0.3,0.35,0.01,aggressive,0,0,0.0,0.0,0.0,1000.0,0.0
0.3,0.35,0.01,conservative,0,0,0.0,0.0,0.0,1000.0,0.0
